scientificName,taxonRank,vernacularName,taxonID,kingdom,phylum,class,order,family,genus,acceptedNameUsage
Ficedula narcissina,species,黃眉黃鶲,KL_Avian_0000197,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula, 
Ficedula mugimaki,species,白眉黃鶲,KL_Avian_0000198,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula, 
Ficedula albicilla,species,紅喉鶲,KL_Avian_0000199,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula, 
Ficedula parva,species,紅胸鶲,KL_Avian_0000200,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula, 
Phoenicurus fuliginosus,species,鉛色水鶇,KL_Avian_0000201,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus, 
Phoenicurus auroreus,species,黃尾鴝,KL_Avian_0000202,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus, 
Monticola solitarius,species,藍磯鶇,KL_Avian_0000203,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Monticola, 
Saxicola maurus,species,黑喉鴝,KL_Avian_0000204,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola, 
Lonchura punctulata,species,斑文鳥,KL_Avian_0000205,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura, 
Passer montanus,species,麻雀,KL_Avian_0000206,Animalia,Chordata,Aves,Passeriformes,Passeridae,Passer, 
Motacilla cinerea,species,灰鶺鴒,KL_Avian_0000207,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla, 
Motacilla tschutschensis,species,東方黃鶺鴒,KL_Avian_0000208,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla, 
Motacilla grandis,species,日本鶺鴒,KL_Avian_0000209,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla, 
Motacilla alba,species,白鶺鴒,KL_Avian_0000210,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla, 
Anthus richardi,species,大花鷚,KL_Avian_0000211,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus, 
Anthus trivialis,species,林鷚,KL_Avian_0000212,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus, 
Anthus hodgsoni,species,樹鷚,KL_Avian_0000213,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus, 
Anthus gustavi,species,白背鷚,KL_Avian_0000214,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus, 
Anthus cervinus,species,赤喉鷚,KL_Avian_0000215,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus, 
Anthus spinoletta,species,水鷚,KL_Avian_0000216,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus, 
Anthus rubescens,species,黃腹鷚,KL_Avian_0000217,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus, 
Fringilla montifringilla,species,花雀,KL_Avian_0000218,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Fringilla, 
Coccothraustes coccothraustes,species,臘嘴雀,KL_Avian_0000219,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Coccothraustes, 
Eophona migratoria,species,小桑鳲,KL_Avian_0000220,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Eophona, 
Carpodacus erythrinus,species,普通朱雀,KL_Avian_0000221,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Carpodacus, 
Chloris sinica,species,金翅雀,KL_Avian_0000222,,,,,,, 
Spinus spinus,species,黃雀,KL_Avian_0000223,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Spinus, 
Emberiza melanocephala,species,黑頭鵐,KL_Avian_0000224,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza fucata,species,赤胸鵐,KL_Avian_0000225,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza elegans,species,黃喉鵐,KL_Avian_0000226,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza pallasi,species,葦鵐,KL_Avian_0000227,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza schoeniclus,species,蘆鵐,KL_Avian_0000228,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza aureola,species,金鵐,KL_Avian_0000229,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza pusilla,species,小鵐,KL_Avian_0000230,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza rustica,species,田鵐,KL_Avian_0000231,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza sulphurata,species,野鵐,KL_Avian_0000232,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza spodocephala,species,灰頭黑臉鵐,KL_Avian_0000233,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza rutila,species,鏽鵐,KL_Avian_0000234,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza chrysophrys,species,黃眉鵐,KL_Avian_0000235,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Emberiza tristrami,species,白眉鵐,KL_Avian_0000236,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza, 
Accipitridae,family,鷹科,KL_Avian_0000237,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,,
Ardeidae,family,鷺科,KL_Avian_0000238,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,,
Sterninae,subfamily,燕鷗亞科,KL_Avian_0000239,Animalia,Chordata,Aves,Charadriiformes,Laridae,,
Procellariidae,family,鸌科,KL_Avian_0000240,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,,
Motacilla,genus,鶺鴒屬,KL_Avian_0000241,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,
Passeriformes,order,雀形目,KL_Avian_0000242,Animalia,Chordata,Aves,Passeriformes,,,
Phylloscopus borealis,species,極北柳鶯,KL_Avian_0000243,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,
Phylloscopidae,family,柳鶯科,KL_Avian_0000244,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,,
Helopsaltes fasciolatus,species,蒼眉蝗鶯,KL_Avian_0000245,Animalia,Chordata,Aves,Passeriformes,Locustellidae,,
Apodidae,family,雨燕科,KL_Avian_0000246,Animalia,Chordata,Aves,Apodiformes,Apodidae,,
Fulica atra,species,白冠雞,KL_Avian_0000247,Animalia,Chordata,Aves,Gruiformes,Rallidae,,
Charadriidae,family,鴴科,KL_Avian_0000248,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,,
Gallinago,genus,田鷸屬,KL_Avian_0000249,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,
Muscicapidae,family,鶲科,KL_Avian_0000250,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,,
Phoebastria nigripes,species,黑腳信天翁,KL_Avian_0000251,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,
Laniidae,family,伯勞科,KL_Avian_0000252,Animalia,Chordata,Aves,Passeriformes,Laniidae,,
Charadriiformes,order,鴴形目,KL_Avian_0000253,Animalia,Chordata,Aves,Charadriiformes,,,
Motacillidae,family,鶺鴒科,KL_Avian_0000255,Animalia,Chordata,Aves,Passeriformes,Motacillidae,,
Sula sula,species,紅腳鰹鳥,KL_Avian_0000256,Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,
Stercorariidae,family,賊鷗科,KL_Avian_0000257,Animalia,Chordata,Aves,Charadriiformes,,,
Stercorarius pomarinus,species,中賊鷗,KL_Avian_0000258,Animalia,Chordata,Aves,Charadriiformes,Stercorariidae,Stercorarius,
Ardenna carneipes,species,肉足水薙鳥,KL_Avian_0000259,Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,
Accipiter gentilis,species,蒼鷹,KL_Avian_0000261,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,
Horornis diphone,species,日本樹鶯,KL_Avian_0000262,Animalia,Chordata,Aves,Passeriformes,Scotocercidae,Horornis,
Agropsar sturninus,species,北椋鳥,KL_Avian_0000263,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Agropsar,
Buteo hemilasius,species,大鵟,KL_Avian_0000264,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,
Aves,class,鳥綱,KL_Avian_0000265,Animalia,Chordata,Aves,,,,
Cuculidae,family,杜鵑科,KL_Avian_0000266,Animalia,Chordata,Aves,Cuculiformes,,,
Scolopacidae,family,鷸科,KL_Avian_0000267,Animalia,Chordata,Aves,Charadriiformes,,,
Vanellus cinereus,species,跳鴴,KL_Avian_0000268,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Vanellus,
Locustellidae,family,蝗鶯科,KL_Avian_0000269,Animalia,Chordata,Aves,Passeriformes,Locustellidae,,
Caprimulgidae,family,夜鷹科,KL_Avian_0000270,Animalia,Chordata,Aves,Caprimulgiformes,,,
Urile pelagicus,family,海鸕鷀,KL_Avian_0000271,Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Urile ,
Motacilla citreola,species,黃頭鶺鴒,KL_Avian_0000272,Animalia,Chordata,Aves,Passeriformes,Motacillidae,,
Helopsaltes ochotensis,species,北蝗鶯,KL_Avian_0000273,Animalia,Chordata,Aves,Passeriformes,Locustellidae,,
Saxicola stejnegeri,species,黑喉鴝,KL_Avian_0000274,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Saxicola,
Phoenicurus ochruros,species,赭紅尾鴝,KL_Avian_0000275,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Phoenicurus,
Emberiza personata,species,黃喉黑臉鵐,KL_Avian_0000276,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Emberiza,
Procellariidae,order,鸌形目,KL_Avian_0000277,Animalia,Chordata,Aves,Procellariidae,,,
Columbidae,family,鳩鴿科,KL_Avian_0000278,Animalia,Chordata,Aves,Columbiformes,Columbidae,,
Calidris subminuta,species,長趾濱鷸,KL_Avian_0000279,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,
Phylloscopus,genus,柳鶯屬,KL_Avian_0000280,Animalia,Chordata,Aves,Passeriformes,Phylloscopidae,Phylloscopus,
Turdus,genus,鶇屬,KL_Avian_0000281,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,
Anthus,genus,鷚屬,KL_Avian_0000282,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,
Strigidae,family,鴟鴞科,KL_Avian_0000283,Animalia,Chordata,Aves,Passeriformes,Strigidae,,
Asio,genus,耳鴞屬,KL_Avian_0000284,Animalia,Chordata,Aves,Passeriformes,Strigidae,Asio,
Isognomon,genus,障泥蛤屬,KL_BenthicInvertebrate_0000001,,,,,,, 
Tridacna noae,species,諾亞硨磲蛤,KL_BenthicInvertebrate_0000002,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna, 
Tridacna crocea,species,圓硨磲,KL_BenthicInvertebrate_0000003,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna, 
Crassostrea angulata,species,葡萄牙牡蠣,KL_BenthicInvertebrate_0000004,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea, 
Spondylidae,family,海菊蛤科,KL_BenthicInvertebrate_0000005,,,,,,, 
Aplysia argus,species,環眼海兔,KL_BenthicInvertebrate_0000006,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia, 
Aplysia oculifera,species,眼斑海兔,KL_BenthicInvertebrate_0000007,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia, 
Stylocheilus striatus,species,條紋柱唇海兔,KL_BenthicInvertebrate_0000008,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Stylocheilus, 
Phyllidiopsis xishaensis,species,縱紋葉海蛞蝓,KL_BenthicInvertebrate_0000009,Animalia,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidiopsis, 
Phyllidia varicosa,species,葉海蛞蝓,KL_BenthicInvertebrate_0000010,Animalia,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidia, 
Phyllidiella pustulosa,species,突丘葉海蛞蝓,KL_BenthicInvertebrate_0000011,Animalia,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidiella, 
Hexabranchus sanguineus,species,血紅六鰓海蛞蝓,KL_BenthicInvertebrate_0000012,Animalia,Mollusca,Gastropoda,Nudibranchia,Hexabranchidae,Hexabranchus, 
Monetaria caputserpentis,species,雪山寶螺,KL_BenthicInvertebrate_0000013,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Monetaria,Cypraea caputserpentis
Cypraea arabica,species,阿拉伯寶螺,KL_BenthicInvertebrate_0000014,,,,,,, 
Cypraea tigris,species,黑星寶螺,KL_BenthicInvertebrate_0000015,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Cypraea, 
Purpura panama,species,羅螺,KL_BenthicInvertebrate_0000016,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Purpura, 
Thais armigera,species,大岩螺,KL_BenthicInvertebrate_0000017,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Mancinella, 
Thais clavigera,species,蚵岩螺,KL_BenthicInvertebrate_0000018,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Reishia, 
Tenguella granulata,species,結螺,KL_BenthicInvertebrate_0000019,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Tenguella, 
Mancinella aculeata,species,鐵斑岩螺,KL_BenthicInvertebrate_0000020,,,,,,, 
Cronia margariticola margariticola,subspecies,稜結螺,KL_BenthicInvertebrate_0000021,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Drupella, 
Morula anaxares,species,白瘤結螺,KL_BenthicInvertebrate_0000022,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Muricodrupa, 
Strigatella zebra,species,小焰筆螺,KL_BenthicInvertebrate_0000023,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitridae,Strigatella, 
Nerita costata,species,黑肋蜑螺,KL_BenthicInvertebrate_0000024,Animalia,Mollusca,Gastropoda,Cycloneritida,Neritidae,Nerita, 
Nerita plicata,species,白肋蜑螺,KL_BenthicInvertebrate_0000025,Animalia,Mollusca,Gastropoda,Cycloneritida,Neritidae,Nerita, 
Nerita albicilla,species,漁舟蜑螺,KL_BenthicInvertebrate_0000026,Animalia,Mollusca,Gastropoda,Cycloneritida,Neritidae,Nerita, 
Trochus,genus,鐘螺屬,KL_BenthicInvertebrate_0000027,,,,,,, 
Trochus stellatus,species,血斑鐘螺,KL_BenthicInvertebrate_0000028,Animalia,Mollusca,Gastropoda,Trochida,Trochidae,Trochus, 
Nodilittorina pyramidalis,species,顆粒玉黍螺,KL_BenthicInvertebrate_0000029,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Nodilittorina, 
Echinolittorina millegrana,species,台灣玉黍螺,KL_BenthicInvertebrate_0000030,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Echinolittorina, 
Calpurnus verrucosus,species,玉兔螺,KL_BenthicInvertebrate_0000031,Animalia,Mollusca,Gastropoda,Littorinimorpha,Ovulidae,Calpurnus, 
Megabalanus,genus,巨藤壺屬,KL_BenthicInvertebrate_0000032,,,,,,, 
Palaemon pacificus,species,太平洋長臂蝦,KL_BenthicInvertebrate_0000033,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemon, 
Coenobita rugosus,species,皺紋陸寄居蟹,KL_BenthicInvertebrate_0000034,Animalia,Arthropoda,Malacostraca,Decapoda,Coenobitidae,Coenobita, 
Calcinus elegans,species,秀麗硬殼寄居蟹,KL_BenthicInvertebrate_0000035,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Calcinus, 
Grapsus tenuicrustatus,species,細紋方蟹,KL_BenthicInvertebrate_0000036,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Grapsus, 
Grapsus albolineatus,species,白紋方蟹,KL_BenthicInvertebrate_0000037,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Grapsus, 
Geograpsus crinipes,species,毛足陸方蟹,KL_BenthicInvertebrate_0000038,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Geograpsus, 
Epixanthus frontalis,species,平額石扇蟹,KL_BenthicInvertebrate_0000039,Animalia,Arthropoda,Malacostraca,Decapoda,Oziidae,Epixanthus, 
Metopograpsus thukuhar,species,方形大額蟹,KL_BenthicInvertebrate_0000040,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Metopograpsus, 
Pachygrapsus minutus,species,小厚紋蟹,KL_BenthicInvertebrate_0000041,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus, 
Cyclograpsus integer,species,整潔圓方蟹,KL_BenthicInvertebrate_0000042,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Cyclograpsus, 
Cyclograpsus intermedius,species,中型圓方蟹,KL_BenthicInvertebrate_0000043,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Cyclograpsus, 
Plagusia squamosa,species,鱗形斜紋蟹,KL_BenthicInvertebrate_0000044,Animalia,Arthropoda,Malacostraca,Decapoda,Plagusiidae,Plagusia, 
Pachygrapsus plicatus,species,褶痕厚紋蟹,KL_BenthicInvertebrate_0000045,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus, 
Percnon planissimum,species,裸掌盾牌蟹,KL_BenthicInvertebrate_0000046,Animalia,Arthropoda,Malacostraca,Decapoda,Percnidae,Percnon, 
Eriphia ferox,species,兇猛酋婦蟹,KL_BenthicInvertebrate_0000047,Animalia,Arthropoda,Malacostraca,Decapoda,Eriphiidae,Eriphia, 
Eriphia sebana,species,光手酋婦蟹,KL_BenthicInvertebrate_0000048,Animalia,Arthropoda,Malacostraca,Decapoda,Eriphiidae,Eriphia, 
Calcinus laevimanus,species,光掌硬殼寄居蟹,KL_BenthicInvertebrate_0000049,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Calcinus, 
Dardanus guttatus,species,線斑真寄居蟹,KL_BenthicInvertebrate_0000050,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Dardanus, 
Calcinus latens,species,隱伏硬殼寄居蟹,KL_BenthicInvertebrate_0000051,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Calcinus, 
Clibanarius englaucus,species,藍趾細螯寄居蟹,KL_BenthicInvertebrate_0000052,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Clibanarius, 
Panulirus japonicus,species,日本龍蝦,KL_BenthicInvertebrate_0000053,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus, 
Percnon sinense,species,中華盾牌蟹,KL_BenthicInvertebrate_0000055,Animalia,Arthropoda,Malacostraca,Decapoda,Percnidae,Percnon, 
Plagusia immaculata,species,無斑斜紋蟹,KL_BenthicInvertebrate_0000056,Animalia,Arthropoda,Malacostraca,Decapoda,Plagusiidae,Plagusia, 
Plagusia tuberculata,species,瘤突斜紋蟹,KL_BenthicInvertebrate_0000057,Animalia,Arthropoda,Malacostraca,Decapoda,Plagusiidae,Plagusia, 
Petrolisthes hastatus,species,矛形岩瓷蟹,KL_BenthicInvertebrate_0000058,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes, 
Leptodius sanguineus,species,肉球皺蟹,KL_BenthicInvertebrate_0000059,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,Leptodius, 
Leptodius gracilis,species,細巧皺蟹,KL_BenthicInvertebrate_0000060,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,Leptodius, 
Euxanthus exsculptus,species,雕刻真扇蟹,KL_BenthicInvertebrate_0000061,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,Euxanthus, 
Pseudozius caystrus,species,礁石假團扇蟹,KL_BenthicInvertebrate_0000062,Animalia,Arthropoda,Malacostraca,Decapoda,Pseudoziidae,Pseudozius, 
Lachnopodus rodgersi,species,羅氏毛足蟹,KL_BenthicInvertebrate_0000063,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,Lachnopodus, 
Ozius tuberculosus,species,疣粒團扇蟹,KL_BenthicInvertebrate_0000064,Animalia,Arthropoda,Malacostraca,Decapoda,Oziidae,Ozius, 
Epigrapsus notatus,species,橙螯隱蟹,KL_BenthicInvertebrate_0000065,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Epigrapsus, 
Gecarcoidea lalandii,species,紫地蟹,KL_BenthicInvertebrate_0000066,Animalia,Arthropoda,Malacostraca,Decapoda,Gecarcinidae,Gecarcoidea, 
Metasesarma obesum,species,肥胖後相手蟹,KL_BenthicInvertebrate_0000067,Animalia,Arthropoda,Malacostraca,Decapoda,Sesarmidae,Metasesarma, 
Parasesarma pictum,species,斑點擬相手蟹,KL_BenthicInvertebrate_0000068,Animalia,Arthropoda,Malacostraca,Decapoda,Sesarmidae,Parasesarma, 
Ligia,genus,海蟑螂屬,KL_BenthicInvertebrate_0000069,,,,,,, 
Anthopleura dixoniana,species,狄氏襟疣海葵,KL_BenthicInvertebrate_0000070,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura, 
Acropora,genus,軸孔珊瑚屬,KL_BenthicInvertebrate_0000071,,,,,,, 
Montipora,genus,表孔珊瑚屬,KL_BenthicInvertebrate_0000072,,,,,,, 
Palythoa mutuki,species,沙群海葵,KL_BenthicInvertebrate_0000073,Animalia,Cnidaria,Anthozoa,Zoantharia,Sphenopidae,Palythoa, 
Lobophytum crassum,species,隔板葉形軟珊瑚,KL_BenthicInvertebrate_0000074,Animalia,Cnidaria,Anthozoa,Malacalcyonacea,Sarcophytidae,Lobophytum, 
Diadema savignyi,species,沙氏冠海膽,KL_BenthicInvertebrate_0000075,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema, 
Diadema setosum,species,刺冠海膽,KL_BenthicInvertebrate_0000076,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema, 
Echinometra mathaei,species,梅氏長海膽,KL_BenthicInvertebrate_0000077,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra, 
Colobocentrotus mertensii,species,默氏笠海膽,KL_BenthicInvertebrate_0000078,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Colobocentrotus, 
Stomopneustes variolaris,species,口鰓海膽,KL_BenthicInvertebrate_0000079,Animalia,Echinodermata,Echinoidea,Stomopneustoida,Stomopneustidae,Stomopneustes, 
Tripneustes gratilla,species,白棘三列海膽,KL_BenthicInvertebrate_0000080,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Tripneustes, 
Holothuria atra,species,黑海參,KL_BenthicInvertebrate_0000081,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria, 
Holothuria cinerascens,species,黑赤星海參,KL_BenthicInvertebrate_0000082,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria, 
Holothuria leucospilota,species,蕩皮參,KL_BenthicInvertebrate_0000083,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Holothuria, 
Actinopyga echinites,species,棘輻肛參,KL_BenthicInvertebrate_0000084,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga, 
Actinopyga mauritiana,species,白底輻肛參,KL_BenthicInvertebrate_0000085,Animalia,Echinodermata,Holothuroidea,Holothuriida,Holothuriidae,Actinopyga, 
Culcita novaeguineae,species,麵包海星,KL_BenthicInvertebrate_0000086,Animalia,Echinodermata,Asteroidea,Valvatida,Oreasteridae,Culcita, 
Echinaster luzonicus,species,呂宋棘海星,KL_BenthicInvertebrate_0000087,Animalia,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Echinaster, 
Linckia laevigata,species,藍指海星,KL_BenthicInvertebrate_0000088,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Linckia, 
Ophiocoma,genus,櫛蛇尾屬,KL_BenthicInvertebrate_0000089,,,,,,, 
Comanthina schlegeli,species,許氏大羽花,KL_BenthicInvertebrate_0000090,Animalia,Echinodermata,Crinoidea,Comatulida,Comatulidae,Comaster, 
Spirobranchus giganteus,species,大旋鰓蟲,KL_BenthicInvertebrate_0000091,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Spirobranchus, 
Styelidae,family,柄海鞘科,KL_BenthicInvertebrate_0000092,,,,,,, 
Octopus cyanea,species,藍蛸,KL_BenthicInvertebrate_0000093,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus, 
Conidae,family,,KL_BenthicInvertebrate_0000095,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,,
Muricidae,family,,KL_BenthicInvertebrate_0000096,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,,
Eriphia,genus,,KL_BenthicInvertebrate_0000097,Animalia,Arthropoda,Malacostraca,Decapoda,Eriphiidae,Eriphia,
Grapsus,genus,,KL_BenthicInvertebrate_0000098,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Grapsus,
Leptodius,genus,,KL_BenthicInvertebrate_0000099,Animalia,Arthropoda,Malacostraca,Decapoda,Xanthidae,Leptodius,
Ostreidae,family,,KL_BenthicInvertebrate_0000100,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,,
Tetraclita,genus,笠藤壺,KL_BenthicInvertebrate_0000101,,,,,,,
Purpura persica,species,桃羅螺,KL_BenthicInvertebrate_0000102,,,,,,,
Ligia exotica,species,奇異海蟑螂,KL_BenthicInvertebrate_0000103,,,,,,,
Tetraclita kuroshioensis,species,黑潮笠藤壺,KL_BenthicInvertebrate_0000104,,,,,,,
Tetraclita japonica formosana,subspecies,美麗笠藤壺,KL_BenthicInvertebrate_0000105,Animalia,Arthropoda,Thecostraca,Balanomorpha,Tetraclitidae,Tetraclita,
Cellana toreuma,species,花笠螺,KL_BenthicInvertebrate_0000106,Animalia,Mollusca,Gastropoda,Patellogastropoda ordo incertae sedis,Patellidae,Cellana,
Echinolittorina malaccana,species,顆粒玉黍螺,KL_BenthicInvertebrate_0000107,Animalia,Mollusca,Gastropoda,Mesogastropoda,Littorinidae,Echinolittorina,
Littoraria undulata,species,波紋玉黍螺,KL_BenthicInvertebrate_0000108,,,,,,,
Phyllidia exquisita,species,優美葉海蛞蝓,KL_BenthicInvertebrate_0000110,,,,,,,
Echinothrix calamaris,species,環刺棘海膽,KL_BenthicInvertebrate_0000111,,,,,,,
Holothuria nobilis,species,黑乳參,KL_BenthicInvertebrate_0000112,,,,,,,
Anthocidaris crassispina,species,紫海膽,KL_BenthicInvertebrate_0000113,,,,,,,
Afrocucumis africana,species,非洲異瓜參,KL_BenthicInvertebrate_0000114,,,,,,,
Colochirus robustus,species,強壯翼手參,KL_BenthicInvertebrate_0000115,,,,,,,
Linckia guildingi,species,蓋丁指海星,KL_BenthicInvertebrate_0000116,,,,,,,
Tritoniopsis elegans,species,華麗崔坦海蛞蝓,KL_BenthicInvertebrate_0000117,,,,,,,
Bornella stellifer,species,星斑二列鰓海蛞蝓,KL_BenthicInvertebrate_0000118,,,,,,,
Halgerda willeyi,species,威利瘤背海蛞蝓,KL_BenthicInvertebrate_0000119,,,,,,,
Ovula ovum,species,海兔螺,KL_BenthicInvertebrate_0000120,,,,,,,
Goniobranchus rufomaculatus,species,橘點多彩海蛞蝓,KL_BenthicInvertebrate_0000121,,,,,,,
